Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Kamla Sahaniwas,"Kamla Sahaniwas, Hajaripahad, Nagpur",₹20.6 Lac,"₹3,300 per sqft",2 BHK,625 sqft,Ready to Move
Shiv Kailasa,"Shiv Kailasa, Mihan, Nagpur",₹80.9 Lac,N/A,3 BHK,1798 sqft,Poss. by Oct '24
Aditya Residency,"Aditya Residency, Pipla, Nagpur",₹52.9 Lac,N/A,2 BHK,953 sqft,Poss. by May '26
Radha Madhav Vrindavan,"Radha Madhav Vrindavan, Wardha Road Nagpur",₹84 Lac,"₹4,674 per sqft","4 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",1797 sqft,Poss. by Dec '27
Vastu Square 2,"Vastu Square 2, Hudkeshwar, Nagpur",₹39.6 Lac,"₹3,300 per sqft",2 BHK,1200 sqft,Poss. by Dec '25
Greenfield 4,"Greenfield 4, Hingna, Nagpur",₹25.9 Lac,"₹2,907 per sqft",2 BHK,891 sqft,Poss. by Dec '25
Shree Siddheshwar Nagar 2,"Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",₹35 Lac,"₹3,182 per sqft",2 BHK,1100 sqft,Poss. by Mar '25
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
Falcon by BHP Housing,"Sarjapura, Bangalore",₹65.9 Lac,"₹7,063 per sqft",2 BHK,933 sqft,Poss. by Dec '25
Mahidhara Harmony,Sarjapur Road Bangalore,₹1.90 Cr,"₹9,500 per sqft",3 BHK Villa for Sale in Sarjapur Road Bangalore,2005 sqft,N/A
Casagrand Casablanca,"Kanakapura Road, Bangalore",₹88 Lac,"₹6,957 per sqft",2 BHK,1265 sqft,Poss. by Aug '27
Desai Empire,"Borewell Road, Bangalore",₹1.42 Cr,"₹9,399 per sqft",3 BHK,1141 sqft,Poss. by Dec '26
TVS Emerald Elements, Kovilambakkam  Chennai,₹77.5 Lac,"₹8,298 per sqft",2 BHK,934 sqft,Poss. by Dec '27
Casagrand Primrose, Perungalathur  Chennai,₹49 Lac,"₹4,310 per sqft",3 BHK,1137 sqft,Poss. by Sep '25
ATH Royal Queen, Pammal  Chennai,₹1.07 Cr,"₹7,999 per sqft",3 BHK,1348 sqft,Poss. by Dec '27
Maple Sky Residences At Navins Starwood Towers, Medavakkam  Chennai,₹80 Lac,"₹8,040 per sqft",2 BHK,995 sqft,Poss. by Dec '24
Nest Art, Sithalapakkam  Chennai,₹77.6 Lac,"₹5,467 per sqft",3 BHK,1420 sqft,Poss. by Sep '24
VGN Kensington Towers, Guindy  Chennai,₹3.43 Cr,"₹11,000 per sqft",4 BHK,3125 sqft,Poss. by Apr '25
GP Homes Blazing Star, Porur  Chennai,₹95.6 Lac,"₹6,799 per sqft",3 BHK,1406 sqft,Poss. by Sep '24
Harmony Blossoms, East Tambaram  Chennai,₹89.7 Lac,"₹9,791 per sqft",2 BHK,916 sqft,Poss. by Jun '25
Avanthika, Virugambakkam  Chennai,₹1.63 Cr,"₹11,164 per sqft",3 BHK,1462 sqft,Poss. by Nov '25
KG House of Champions, Perumbakkam  Chennai,₹41.1 Lac,"₹4,999 per sqft",2 BHK,823 sqft,Ready to Move
Risington Phase 2, Old Mahabalipuram Road Chennai  Chennai,₹1.21 Cr,"₹7,495 per sqft",3 BHK,1617 sqft,Poss. by Dec '26
Newry Astor, Paruthippattu  Chennai,₹79.7 Lac,"₹5,499 per sqft",3 BHK,1075 sqft,Poss. by Oct '25
Urbanrise The World of Joy, Siruseri  Chennai,₹55.2 Lac,"₹6,059 per sqft",2 BHK,911 sqft,Poss. by Dec '26
Alamo XS Real Tuscany, Chettipunyam  Chennai,₹29.8 Lac,"₹4,841 per sqft",2 BHK,616 sqft,Poss. by Apr '25
Alpha Signature, Medavakkam  Chennai,₹92.4 Lac,"₹6,499 per sqft",3 BHK,1422 sqft,Poss. by Sep '25
Newry Adora, Thirumullaivoyal  Chennai,₹44.4 Lac,"₹4,799 per sqft",2 BHK,925 sqft,Poss. by Dec '25
Serene Senior Living,Thiruporur Chennai,₹90 Lac,"₹8,427 per sqft",2 BHK Villa for Sale in Thiruporur Chennai,1068 sqft,Ready to Move
Gemini Aster, Polachery  Chennai,₹58.7 Lac,"₹4,730 per sqft",3 BHK,1240 sqft,Ready to Move
KF Vasantham, Villivakkam  Chennai,₹93.5 Lac,"₹7,855 per sqft",3 BHK,830 sqft,Poss. by Apr '25
Serenity Garden Villas,Akkarai Chennai,₹2.41 Cr,"₹10,711 per sqft",4 BHK Villa for Sale in Akkarai Chennai,1807 sqft,Ready to Move
Jones Cassia,Ottiambakkam Chennai,₹1.76 Cr,"₹7,500 per sqft",4 BHK Villa for Sale in Ottiambakkam Chennai,2355 sqft,Poss. by Jan '25
TVS Emerald Elements, Kovilambakkam  Chennai,₹77.5 Lac,"₹8,298 per sqft",2 BHK,934 sqft,Poss. by Dec '27
Casagrand Primrose, Perungalathur  Chennai,₹49 Lac,"₹4,310 per sqft",3 BHK,1137 sqft,Poss. by Sep '25
ATH Royal Queen, Pammal  Chennai,₹1.07 Cr,"₹7,999 per sqft",3 BHK,1348 sqft,Poss. by Dec '27
Maple Sky Residences At Navins Starwood Towers, Medavakkam  Chennai,₹80 Lac,"₹8,040 per sqft",2 BHK,995 sqft,Poss. by Dec '24
Nest Art, Sithalapakkam  Chennai,₹77.6 Lac,"₹5,467 per sqft",3 BHK,1420 sqft,Poss. by Sep '24
VGN Kensington Towers, Guindy  Chennai,₹3.43 Cr,"₹11,000 per sqft",4 BHK,3125 sqft,Poss. by Apr '25
GP Homes Blazing Star, Porur  Chennai,₹95.6 Lac,"₹6,799 per sqft",3 BHK,1406 sqft,Poss. by Sep '24
Harmony Blossoms, East Tambaram  Chennai,₹89.7 Lac,"₹9,791 per sqft",2 BHK,916 sqft,Poss. by Jun '25
Avanthika, Virugambakkam  Chennai,₹1.63 Cr,"₹11,164 per sqft",3 BHK,1462 sqft,Poss. by Nov '25
KG House of Champions, Perumbakkam  Chennai,₹41.1 Lac,"₹4,999 per sqft",2 BHK,823 sqft,Ready to Move
Risington Phase 2, Old Mahabalipuram Road Chennai  Chennai,₹1.21 Cr,"₹7,495 per sqft",3 BHK,1617 sqft,Poss. by Dec '26
Newry Astor, Paruthippattu  Chennai,₹79.7 Lac,"₹5,499 per sqft",3 BHK,1075 sqft,Poss. by Oct '25
Urbanrise The World of Joy, Siruseri  Chennai,₹55.2 Lac,"₹6,059 per sqft",2 BHK,911 sqft,Poss. by Dec '26
