Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Primarks Eco Nest,Kompally Hyderabad,₹1.03 Cr,"₹4,799 per sqft",3 BHK Apartment for Sale in Kompally Hyderabad,2165 sqft,Poss. by Dec '24
Risinia Skyon,Bachupally Hyderabad,₹85 Lac,"₹6,741 per sqft",2 BHK Apartment for Sale in Bachupally Hyderabad,1261 sqft,Ready to Move
Hallmark Treasor,"Narsingi, Outer Ring Road Hyderabad",₹2.34 Cr,"₹9,250 per sqft","3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",2540 sqft,Poss. by Nov '24
Subishis Nest Residences,Kandlakoya Hyderabad,₹1.31 Cr,"₹6,000 per sqft",3 BHK Apartment for Sale in Kandlakoya Hyderabad,2185 sqft,Poss. by Nov '27
Sai Sravanthi Pavani Felicity,Nizampet Hyderabad,₹1.67 Cr,"₹7,360 per sqft",3 BHK Apartment for Sale in Nizampet Hyderabad,2269 sqft,Poss. by Dec '26
Jains Fairmount Sri Ram Garden 2,Kompally Hyderabad,₹79.5 Lac,"₹6,795 per sqft",2 BHK Apartment for Sale in Kompally Hyderabad,1170 sqft,Poss. by Mar '25
Lansum Elena,"Kokapet, Outer Ring Road Hyderabad",₹2.64 Cr,"₹10,000 per sqft","3 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",2640 sqft,Poss. by Dec '28
Marina Skies,"Hitech City, Hyderabad",₹1.56 Cr,"₹9,455 per sqft",3 BHK,1650 sqft,Ready to Move
Praneeth PBR Pranav Ixora,"Hyder Nagar, NH 9 Hyderabad",₹1.99 Cr,N/A,"3 BHK Apartment for Sale in Hyder Nagar, NH 9 Hyderabad",2630 sqft,Poss. by Dec '26
Samracana Swasthi,"Kollur, Outer Ring Road Hyderabad",₹1.01 Cr,"₹5,500 per sqft","3 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",1850 sqft,Poss. by Nov '29
Supadha Gamya,"Tellapur, Outer Ring Road Hyderabad",₹2.35 Cr,"₹9,671 per sqft","3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",2430 sqft,Poss. by Jun '27
Aakriti Miro,Nalagandla Hyderabad,₹1.72 Cr,"₹7,999 per sqft",3 BHK Apartment for Sale in Nalagandla Hyderabad,2162 sqft,Poss. by Oct '26
Bhanodayas Crystal,Gundlapochampalli Hyderabad,₹85.5 Lac,"₹5,245 per sqft",3 BHK Apartment for Sale in Gundlapochampalli Hyderabad,1630 sqft,Poss. by Sep '28
Silpas Kalpavriksha,Bahadurpally Hyderabad,₹43.9 Lac,"₹4,000 per sqft",3 BHK Apartment for Sale in Bahadurpally Hyderabad,1098 sqft,Poss. by Dec '26
EIPL CORNERSTONE,Puppalguda Hyderabad,₹1.64 Cr,"₹8,410 per sqft",3 BHK Apartment for Sale in Puppalguda Hyderabad,1950 sqft,Ready to Move
GKs Zenith,Yapral Hyderabad,₹72 Lac,"₹6,000 per sqft",2 BHK Apartment for Sale in Yapral Hyderabad,1200 sqft,Poss. by Jan '26
Concrete Avasa,Nagole Hyderabad,₹71.1 Lac,"₹5,621 per sqft",2 BHK Apartment for Sale in Nagole Hyderabad,1265 sqft,Ready to Move
Vajras Abode,"Kukatpally, NH 9 Hyderabad",₹1.34 Cr,"₹7,776 per sqft","3 BHK Apartment for Sale in Kukatpally, NH 9 Hyderabad",1730 sqft,Poss. by Sep '28
Happiness Hub,"Kismatpur, Outer Ring Road, Hyderabad",₹70.1 Lac,"₹6,417 per sqft",2 BHK,1092 sqft,Poss. by Dec '25
Lumbini Elysee,"Financial District, Nanakram Guda, Hyderabad",₹2.20 Cr,"₹10,471 per sqft",3 BHK,2101 sqft,Poss. by Oct '25
Krishna Kunj Central Courtyard,"Quthbullapur, NH 7 Hyderabad",₹1.08 Cr,"₹5,699 per sqft","3 BHK Apartment for Sale in Quthbullapur, NH 7 Hyderabad",1910 sqft,Poss. by Dec '24
Marina Skies,"Hitech City, Hyderabad",₹1.56 Cr,"₹9,455 per sqft",3 BHK,1650 sqft,Ready to Move
Lumbini Elysee,"Financial District, Nanakram Guda, Hyderabad",₹2.20 Cr,"₹10,471 per sqft",3 BHK,2101 sqft,Poss. by Oct '25
Happiness Hub,"Kismatpur, Outer Ring Road, Hyderabad",₹70.1 Lac,"₹6,417 per sqft",2 BHK,1092 sqft,Poss. by Dec '25
Prajay Treetops,Shamirpet Hyderabad,₹2.68 Cr,"₹7,200 per sqft",3 BHK Villa for Sale in Shamirpet Hyderabad,3730 sqft,Ready to Move
ASBL Springs,"Pocharam, NH 2 2, Hyderabad",₹81.9 Lac,"₹5,554 per sqft",3 BHK,1475 sqft,Poss. by Sep '24
Aranya Kalanjali,"Kompally, Hyderabad",₹1.54 Cr,"₹6,500 per sqft",3 BHK,2375 sqft,Poss. by Dec '26
The Ananda,"Pocharam, NH 2 2, Hyderabad",₹1.02 Cr,"₹5,496 per sqft",3 BHK,1856 sqft,Poss. by Dec '24
GK Rajs Casa Grande,"Yapral, Hyderabad",₹1.59 Cr,"₹6,510 per sqft",3 BHK,2455 sqft,Poss. by Dec '24
Hivision Heights,"Kompally, Hyderabad",₹1.13 Cr,"₹7,609 per sqft",3 BHK,1485 sqft,Poss. by Mar '25
Happiness Hub,"Kismatpur, Outer Ring Road, Hyderabad",₹70.1 Lac,"₹6,417 per sqft",2 BHK,1092 sqft,Poss. by Dec '25
Candeur Crescent,"Serilingampalle M, Hyderabad",₹2.29 Cr,"₹8,649 per sqft",3 BHK,2656 sqft,Poss. by Dec '25
Kalpataru Avante,"Sanath Nagar, NH 9, Hyderabad",₹1.71 Cr,N/A,3 BHK,1566 sqft,Poss. by Dec '26
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,253 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.66 Cr,"₹7,981 per sqft",3 BHK,2080 sqft,Poss. by Aug '28
Rajapushpa Infina,"Manchirevula, Outer Ring Road, Hyderabad",₹2.85 Cr,"₹9,280 per sqft",3 BHK,3080 sqft,Poss. by Nov '28
Elegant Nivasa,"Tellapur, Outer Ring Road, Hyderabad",₹86.6 Lac,"₹6,299 per sqft",3 BHK,1375 sqft,Poss. by Sep '28
Vertex 33 West,"Nalagandla, Hyderabad",₹1.36 Cr,"₹8,047 per sqft",3 BHK,1690 sqft,Poss. by Aug '28
Green Alpha,"Tellapur, Outer Ring Road, Hyderabad",₹1.45 Cr,"₹7,500 per sqft",3 BHK,1935 sqft,Ready to Move
Wave,"Kollur, Outer Ring Road, Hyderabad",₹1.38 Cr,"₹7,199 per sqft",3 BHK,1930 sqft,Poss. by Dec '27
Paras Prem Homes by Shiv Krishna Constructions,"Ghatkesar, NH 2 2 Hyderabad",₹1.79 Cr,"₹5,659 per sqft","3 BHK Villa for Sale in Ghatkesar, NH 2 2 Hyderabad",3163 sqft,Ready to Move
Prajay Treetops,Shamirpet Hyderabad,₹2.68 Cr,"₹7,200 per sqft",3 BHK Villa for Sale in Shamirpet Hyderabad,3730 sqft,Ready to Move
Radhey SKYE,"Kollur, Outer Ring Road Hyderabad",₹86.1 Lac,"₹6,499 per sqft","2 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",1325 sqft,Poss. by Jun '26
Urban Commune,Bhanur Hyderabad,₹1.95 Cr,"₹7,500 per sqft",3 BHK Villa for Sale in Bhanur Hyderabad,2600 sqft,N/A
NLC Akarsha,Ameenpur Hyderabad,₹80.7 Lac,"₹5,471 per sqft",3 BHK Apartment for Sale in Ameenpur Hyderabad,1475 sqft,Ready to Move
Shivantha Gardenia,"Isnapur, Outer Ring Road Hyderabad",₹49 Lac,"₹4,757 per sqft","2 BHK Apartment for Sale in Isnapur, Outer Ring Road Hyderabad",1030 sqft,Poss. by Dec '24
Signature Altius,"Kollur, Outer Ring Road Hyderabad",₹84 Lac,"₹5,999 per sqft","2 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",1400 sqft,Poss. by Dec '24
Modi Edifice,Bachupally Hyderabad,₹75.3 Lac,"₹5,199 per sqft",3 BHK Apartment for Sale in Bachupally Hyderabad,1449 sqft,Ready to Move
Muppas Melody,"Tellapur, Outer Ring Road Hyderabad",₹1.24 Cr,"₹7,199 per sqft","3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",1725 sqft,Poss. by Feb '27
Vasavi Skyla,Hitech City Hyderabad,₹2.01 Cr,"₹9,499 per sqft",3 BHK Apartment for Sale in Hitech City Hyderabad,2125 sqft,Poss. by Aug '26
Riddhis Pramukh Elegance,Kompally Hyderabad,₹75 Lac,"₹6,098 per sqft",2 BHK Apartment for Sale in Kompally Hyderabad,1230 sqft,Ready to Move
Lansum EL Dorado,"Narsingi, Outer Ring Road Hyderabad",₹1.65 Cr,"₹8,499 per sqft","3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",1945 sqft,Poss. by Jul '25
ASBL Springs,"Pocharam, NH 2 2, Hyderabad",₹81.9 Lac,"₹5,554 per sqft",3 BHK,1475 sqft,Poss. by Sep '24
GoldenKey Meraki,Ameenpur Hyderabad,₹79.4 Lac,"₹5,495 per sqft",2 BHK Apartment for Sale in Ameenpur Hyderabad,1445 sqft,Poss. by Dec '25
Cybercity Westbrook,"Kokapet, Outer Ring Road Hyderabad",₹2.14 Cr,"₹9,699 per sqft","3 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",2210 sqft,Poss. by Dec '25
